GPS-Reading took: 0.000000 [s] 	 Scanning took 4.726000 [s] 	 Evaluation took 3.147000 [s] 	 Writing to file took: 0.015000 [s]
GPS-Reading took: 0.000000 [s] 	 Scanning took 4.612000 [s] 	 Evaluation took 0.005000 [s] 	 Writing to file took: 0.013000 [s]
GPS-Reading took: 0.000000 [s] 	 Scanning took 4.584000 [s] 	 Evaluation took 0.055000 [s] 	 Writing to file took: 0.023000 [s]
GPS-Reading took: 0.000000 [s] 	 Scanning took 4.524000 [s] 	 Evaluation took 0.035000 [s] 	 Writing to file took: 0.018000 [s]
GPS-Reading took: 0.001000 [s] 	 Scanning took 4.547000 [s] 	 Evaluation took 0.025000 [s] 	 Writing to file took: 0.014000 [s]
GPS-Reading took: 0.000000 [s] 	 Scanning took 4.564000 [s] 	 Evaluation took 0.034000 [s] 	 Writing to file took: 0.021000 [s]
GPS-Reading took: 0.000000 [s] 	 Scanning took 4.546000 [s] 	 Evaluation took 0.032000 [s] 	 Writing to file took: 0.013000 [s]
GPS-Reading took: 0.000000 [s] 	 Scanning took 2.612000 [s] 	 Evaluation took 0.031000 [s] 	 Writing to file took: 0.014000 [s]
GPS-Reading took: 5.461000 [s] 	 Scanning took 4.728000 [s] 	 Evaluation took 5.050000 [s] 	 Writing to file took: 52.912000 [s]
GPS-Reading took: 0.000000 [s] 	 Scanning took 4.726000 [s] 	 Evaluation took 5.789000 [s] 	 Writing to file took: 0.101000 [s]
GPS-Reading took: 0.000000 [s] 	 Scanning took 4.545000 [s] 	 Evaluation took 0.017000 [s] 	 Writing to file took: 0.042000 [s]
GPS-Reading took: 0.001000 [s] 	 Scanning took 4.533000 [s] 	 Evaluation took 1.017000 [s] 	 Writing to file took: 0.041000 [s]
GPS-Reading took: 0.001000 [s] 	 Scanning took 4.555000 [s] 	 Evaluation took 0.909000 [s] 	 Writing to file took: 15.295000 [s]
GPS-Reading took: 0.001000 [s] 	 Scanning took 4.556000 [s] 	 Evaluation took 0.869000 [s] 	 Writing to file took: 4.561000 [s]
GPS-Reading took: 0.001000 [s] 	 Scanning took 4.585000 [s] 	 Evaluation took 0.894000 [s] 	 Writing to file took: 0.046000 [s]
GPS-Reading took: 0.000000 [s] 	 Scanning took 4.582000 [s] 	 Evaluation took 0.847000 [s] 	 Writing to file took: 0.044000 [s]
GPS-Reading took: 0.001000 [s] 	 Scanning took 4.621000 [s] 	 Evaluation took 0.770000 [s] 	 Writing to file took: 0.014000 [s]
GPS-Reading took: 0.000000 [s] 	 Scanning took 4.533000 [s] 	 Evaluation took 0.761000 [s] 	 Writing to file took: 0.012000 [s]
GPS-Reading took: 0.001000 [s] 	 Scanning took 4.630000 [s] 	 Evaluation took 0.877000 [s] 	 Writing to file took: 0.038000 [s]
GPS-Reading took: 0.002000 [s] 	 Scanning took 4.593000 [s] 	 Evaluation took 0.808000 [s] 	 Writing to file took: 0.057000 [s]
GPS-Reading took: 0.001000 [s] 	 Scanning took 4.541000 [s] 	 Evaluation took 0.803000 [s] 	 Writing to file took: 0.045000 [s]
GPS-Reading took: 0.000000 [s] 	 Scanning took 4.562000 [s] 	 Evaluation took 0.840000 [s] 	 Writing to file took: 0.049000 [s]
GPS-Reading took: 0.001000 [s] 	 Scanning took 4.615000 [s] 	 Evaluation took 0.801000 [s] 	 Writing to file took: 0.014000 [s]
GPS-Reading took: 0.001000 [s] 	 Scanning took 4.594000 [s] 	 Evaluation took 0.865000 [s] 	 Writing to file took: 0.047000 [s]
